Question,Answer,Category,FilePath
What is the name of the academic program offered through the partnership between Carnegie Mellon University and various Portuguese universities?,Dual-Degree Ph.D. in Language and Information Technologies (Portugal Partnership),Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Where can I find more information about the program online?,<https://lti.cs.cmu.edu/academics/phd-programs/dual-degree-phd-lti.html>,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Which Portuguese institutions partner with Carnegie Mellon University for this dual-degree program?,"Universidade de Aveiro, Universidade do Minho, Universidade do Porto, Universidade de Lisboa (Faculdade de Ciências and Instituto Superior Técnico), Universidade Nova de Lisboa, and Universidade de Coimbra",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
How long does the dual-degree program take to complete?,"Students typically spend one year in Portugal, two years in Pittsburgh, and another two years back in Portugal to pursue research and complete their dissertations.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
What kind of coursework is included in the dual-degree program?,"Students must complete up to eight courses covering topics such as linguistics, computer science, statistical learning, and task orientation.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Do students receive guidance throughout the program?,"Yes, students have advisors from both Carnegie Mello University and their respective Portuguese university who help supervise their progress and guide them towards defining their final thesis topic.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Once students finish the majority of their academic requirements, what happens next?",Students return to Portugal for two years to conduct extensive research and work toward their dissertation defense.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
What specific degrees can students earn at the partnering Portuguese universities?,"At Universidade de Aveiro, students can earn a Ph.D. in Computer Engineering. At Universidade do Minho, students can earn a Ph.D. in Informatics. At the Universidade do Porto, students can earn either a Ph.D. in Computer Science (FCUP) or a Ph.D. in Computer Science (FEUP). At the Universidade de Lisboa, students can earn a Ph.D. in Informatics (FCUL), a Ph.D. in Computer Science and Engineering, a Ph.D. in Electrical and Computer Engineering, or a Ph.D. in Information Security. At the Universidade Nova de Lisboa, students can earn a Ph.D. in Computer Science. Finally, at the Universidade de Coimbra, students can earn a Ph.D. in Information Science and Technology.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Is any prior knowledge or experience necessary to apply for the program?,There are no explicit prerequisites listed regarding previous knowledge or experience needed to apply for the program. Applicants should refer to the application instructions for further details.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Does the program offer financial assistance or funding opportunities?,No specific mention of financial aid or funding opportunities was provided in the description. Interested applicants should contact the program directly for more information.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Are there any language proficiency requirements for international students?,"Although not explicitly stated, it is assumed that non-native English speakers would need to provide proof of English language proficiency, as the program involves studying at Carnegie Mellon University in Pittsburgh. Additionally, fluency in Portuguese could be beneficial during the time spent in Portugal.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
