Meta-Data
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Undergraduate Internship' with Course ID 48490 and Section A offers 3.0 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Arscott located in Building DNM, Room DNM."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Architecture Design Studio: Thesis II/ Independent Project' with Course ID 48519 and Section A offers VAR units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Instructor TBA located in Building TBA, Room None."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Independent Study' with Course ID 48599 and Section A offers 3-9 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Instructor TBA located in Building TBA, Room None."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'ASO Studio General' with Course ID 48600 and Section A offers 18.0 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Arscott located in Building DNM, Room DNM."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Internship (Studio-Based Graduate Programs):' with Course ID 48695 and Section NA offers 3.0 units. The Class meets Day not scheduled between NA and NA ET. Students attend lectures at the NA location,led by experienced instructor NA located in Building NA, Room None."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Master of Architecture' with Course ID 48695 and Section A offers 3.0 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Bard, Gutschow, Anklesaria located in Building DNM, Room DNM."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Internship (Studio-Based Graduate Programs):' with Course ID 48695 and Section NA offers 3.0 units. The Class meets Day not scheduled between NA and NA ET. Students attend lectures at the NA location,led by experienced instructor NA located in Building NA, Room None."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Master of Urban Design' with Course ID 48695 and Section B offers 3.0 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Bard, Gruber located in Building DNM, Room DNM."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Internship (Studio-Based Graduate Programs):' with Course ID 48695 and Section NA offers 3.0 units. The Class meets Day not scheduled between NA and NA ET. Students attend lectures at the NA location,led by experienced instructor NA located in Building NA, Room None."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Master of Advanced Architectural Design' with Course ID 48695 and Section C offers 3.0 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Ficca, Bard located in Building DNM, Room DNM."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Practicum' with Course ID 48700 and Section A offers 0-36 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Cupkova located in Building TBA, Room None."
"In Semester Summer One(All) 2024, from the department of Architecture, the subject titled 'Master's Project' with Course ID 48703 and Section R offers 18-36 units. The Class meets Schedule will be added between NA and NA ET. Students attend lectures at the Pittsburgh, Pennsylvania location,led by experienced instructor Instructor TBA located in Building DNM, Room DNM."
