Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
48050,Study Abroad,0.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,DNM,DNM,A
48095,Spatial Concepts for Non-Architecture Majors,10.0,Tuesday Thursday,01:00PM,02:50PM,"Pittsburgh, Pennsylvania",Barbuto,Architecture,CFA,211,A
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",McFarland,Architecture,MM,A14,NA
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Markiewicz,Architecture,CFA,200,A
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Tarannum,Architecture,CFA,200,B
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Rafson,Architecture,CFA,200,C
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Wood-Sternburgh,Architecture,CFA,200,D
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,CFA,200,E
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,CFA,200,F
48100,Architecture Design Studio: POIESIS STUDIO 1,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,CFA,200,G
48104,Shop Skills,VAR,Monday Wednesday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Holmes,Architecture,CFA,A9,A1
48104,Shop Skills,VAR,Monday Wednesday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Holmes,Architecture,CFA,A9,A2
48104,Shop Skills,VAR,Monday Wednesday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Holmes,Architecture,CFA,A9,B1
48104,Shop Skills,VAR,Monday Wednesday,11:00AM,11:50AM,"Pittsburgh, Pennsylvania",Holmes,Architecture,CFA,A9,B2
48104,Shop Skills,VAR,Monday Wednesday,06:00PM,06:50PM,"Pittsburgh, Pennsylvania",Sontag,Architecture,CFA,A9,C1
48104,Shop Skills,VAR,Monday Wednesday,06:00PM,06:50PM,"Pittsburgh, Pennsylvania",Sontag,Architecture,CFA,A9,C2
48104,Shop Skills,VAR,Monday Wednesday,07:30PM,08:20PM,"Pittsburgh, Pennsylvania",Sontag,Architecture,CFA,A9,D1
48104,Shop Skills,VAR,Monday Wednesday,07:30PM,08:20PM,"Pittsburgh, Pennsylvania",Sontag,Architecture,CFA,A9,D2
48104,Shop Skills,VAR,Tuesday Thursday,03:00PM,03:50PM,"Pittsburgh, Pennsylvania",Holmes,Architecture,CFA,A9,E2
48116,Introduction to Building Performance,3.0,Tuesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Sawyer,Architecture,MM,303,A
48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Garofalo,Architecture,MM,A14,NA
48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Bista,Architecture,CFA,200,A
48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Kwon,Architecture,CFA,200,B
48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Patel,Architecture,CFA,200,C
48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Rodriguez Ladron De Guevara,Architecture,CFA,200,D
48200,Architecture Design Studio: POIESIS STUDIO 3,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Schmidt,Architecture,CFA,200,E
48215,Materials & Assembly,9.0,Monday Wednesday Friday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Damiani,Architecture,POS,151,A
48222,"Explorations in Craft: Soft Forms, Stable Structures",9.0,Wednesday Friday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Garofalo,Architecture,CFA,206A,A
48250,Urbanism and the Social Production of Space,9.0,Tuesday Thursday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Kwon,Architecture,MM,303,A
48300,Architecture Design Studio: Praxis Studio 1,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Bizon,Architecture,MM,A14,NA
48300,Architecture Design Studio: Praxis Studio 1,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania","Abraham, Achnani, Sindi, Tannir",Architecture,MM,312,A
48300,Architecture Design Studio: Praxis Studio 1,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Achnani,Architecture,MM,312,B
48300,Architecture Design Studio: Praxis Studio 1,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Sindi,Architecture,MM,312,C
48300,Architecture Design Studio: Praxis Studio 1,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Tannir,Architecture,MM,312,D
48307,Carnival Pavilion,VAR,Wednesday,07:00PM,08:20PM,"Pittsburgh, Pennsylvania",Achnani,Architecture,CFA,211,A1
