Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
48105,Architecture Design Studio: Poiesis Studio 2,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Yang,Architecture,MM,A14,NA
48105,Architecture Design Studio: Poiesis Studio 2,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Abraham,Architecture,CFA,200,A
48105,Architecture Design Studio: Poiesis Studio 2,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",McFarland,Architecture,CFA,200,B
48105,Architecture Design Studio: Poiesis Studio 2,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Saleh,Architecture,CFA,200,C
48105,Architecture Design Studio: Poiesis Studio 2,15.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Jno Baptiste,Architecture,CFA,200,D
48111,Exploring Pittsburgh,3.0,Friday,09:00AM,11:50AM,"Pittsburgh, Pennsylvania",Torello,Architecture,CFA,214,A
48111,Exploring Pittsburgh,3.0,Friday,09:00AM,11:50AM,"Pittsburgh, Pennsylvania",Torello,Architecture,CFA,214,B
48112,Digital Fabrication Skills,2.0,Tuesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Sontag,Architecture,DNM,DNM,A3
48112,Digital Fabrication Skills,2.0,Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",NA,Architecture,GHC,4102,NA
48112,Digital Fabrication Skills,2.0,Tuesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Sontag,Architecture,DNM,DNM,A4
48112,Digital Fabrication Skills,2.0,Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",NA,Architecture,WEH,5415,NA
48205,Architecture Options Studios,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Arscott,Architecture,MM,103,NA
48205,Architecture Options Studios,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Anklesaria,Architecture,CFA,200,A
48205,Architecture Options Studios,18.0,Tuesday Thursday,01:00PM,04:50PM,"Pittsburgh, Pennsylvania",Issaias,Architecture,CFA,200,B
48205,Architecture Options Studios,18.0,Tuesday Thursday,01:00PM,04:50PM,"Pittsburgh, Pennsylvania",Lee,Architecture,CFA,200,C
48205,Architecture Options Studios,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Patel,Architecture,CFA,200,D
48205,Architecture Options Studios,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Sindi,Architecture,CFA,200,E
48234,Introduction to Structures,3.0,Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Segal,Architecture,MM,303,A3
48234,Introduction to Structures,3.0,Wednesday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Segal,Architecture,MM,303,B3
48240,"History of World Architecture, I",9.0,Tuesday Thursday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Shaw,Architecture,MM,A14,A
48241,History of Modern Architecture,9.0,Monday Wednesday Friday,10:00AM,10:50AM,"Pittsburgh, Pennsylvania",Gutschow,Architecture,MM,A14,A
48305,Architecture Design Studio: Praxis Studio 2,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Ficca,Architecture,POS,146,NA
48305,Architecture Design Studio: Praxis Studio 2,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Achnani,Architecture,MM,312,A
48305,Architecture Design Studio: Praxis Studio 2,18.0,Monday Wednesday Friday,02:00PM,04:50PM,"Pittsburgh, Pennsylvania",Cochran,Architecture,MM,312,B
