Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
48490,Undergraduate Internship,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Arscott,Architecture,DNM,DNM,A
48519,Architecture Design Studio: Thesis II/ Independent Project,VAR,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,A
48599,Independent Study,3-9,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,A
48600,ASO Studio General,18.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Arscott,Architecture,DNM,DNM,A
48695,Internship (Studio-Based Graduate Programs):,3.0,Day not scheduled,NA,NA,NA,NA,Architecture,NA,,NA
48695,Master of Architecture,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Bard, Gutschow, Anklesaria",Architecture,DNM,DNM,A
48695,Internship (Studio-Based Graduate Programs):,3.0,Day not scheduled,NA,NA,NA,NA,Architecture,NA,,NA
48695,Master of Urban Design,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Bard, Gruber",Architecture,DNM,DNM,B
48695,Internship (Studio-Based Graduate Programs):,3.0,Day not scheduled,NA,NA,NA,NA,Architecture,NA,,NA
48695,Master of Advanced Architectural Design,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Ficca, Bard",Architecture,DNM,DNM,C
48700,Practicum,0-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Cupkova,Architecture,TBA,,A
48703,Master's Project,18-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,DNM,DNM,R
48704,Internship (MS & PhD),0-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Cochran, Lee, Bard, Loftness, Krishnamurti, Cupkova, Cardoso Llach",Architecture,DNM,DNM,R
48731,Sustainable Design Synthesis Prep,1-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Cochran,Architecture,TBA,,A
48731,Sustainable Design Synthesis Prep,1-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,B
48732,Sustainable Design Synthesis,01224,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Cupkova,Architecture,TBA,,A
48736,Master's Independent Study,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Loftness,Architecture,TBA,,A
48736,Master's Independent Study,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Rehman, Cardoso Llach",Architecture,TBA,,B
48736,Master's Independent Study,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Lee, Cochran",Architecture,DNM,DNM,C
48769,Thesis/Project,VAR,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Cardoso Llach,Architecture,DNM,DNM,C
48785,MAAD Research by Design Project,18.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,DNM,DNM,A
48791,M.S. Project,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Krishnamurti, Kim",Architecture,TBA,,A
48792,Ph.D. Independent Study,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rehman,Architecture,TBA,,A
48793,Ph.D. Thesis,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,A
48794,Graduate Reading and Research,53648,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,A
48794,Graduate Reading and Research,53648,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,R
60399,Art History/Theory Independent Study,9.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Art,DNM,DNM,A
60499,Studio Independent Study,5-10,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Cato,Art,DNM,DNM,A
60590,Internship,1-9,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Cato,Art,DNM,DNM,A
60590,Tropical Ecology,1-9,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Biological Sciences,TBA,,S
03132,Basic Science to Modern Medicine,9.0,Monday Tuesday Wednesday Thursday Friday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Mccartney,Biological Sciences,CMU,REMOTE,S
03210,Independent Study,1-12,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Willard,Biological Sciences,TBA,,R
03445,Undergraduate Research,1-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Willard,Biological Sciences,TBA,,S
03445,Undergraduate Research,1-18,Schedule will be added,NA,NA,"Doha, Qatar",Instructor TBA,Biological Sciences,DNM,DNM,W
03445,Undergraduate Research,1-18,Schedule will be added,NA,NA,"Doha, Qatar",Instructor TBA,Biological Sciences,DNM,DNM,X
03445,Undergraduate Research,1-18,Schedule will be added,NA,NA,"Doha, Qatar",Instructor TBA,Biological Sciences,DNM,DNM,Y
03600,Biotechnology or Biopharmaceutical Engineering Internship,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","McGuier, Brasier",Biological Sciences,DNM,DNM,A
03699,MS Research,VAR,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Brasier,Biological Sciences,DNM,DNM,A
03699,MS Research,VAR,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Brasier,Biological Sciences,DNM,DNM,R
03700,MS Thesis Research,6-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Brasier,Biological Sciences,TBA,,A
03700,MS Thesis Research,6-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Brasier,Biological Sciences,TBA,,R
03900,Doctoral Thesis Research,5-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hinman,Biological Sciences,TBA,,A
03900,Doctoral Thesis Research,5-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hinman,Biological Sciences,TBA,,R
42300,Junior BME Research Project,3-12,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Zapanta,Biomedical Engineering,TBA,,A
42400,Senior BME Research Project,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Zapanta,Biomedical Engineering,TBA,,A
42790,Practicum in Biomedical Engineering,12.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Chalacheva,Biomedical Engineering,TBA,,A
42799,Directed Study,3-9,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rakach,Biomedical Engineering,TBA,,A
42882,Tissue Engineering,12.0,Wednesday,07:00PM,08:30PM,"Pittsburgh, Pennsylvania",Palchesko,Biomedical Engineering,CMU,REMOTE,A
42890,M.S. Research,9-48 4,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rakach,Biomedical Engineering,TBA,,R
42899,M.S. Research Final Report,0.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rakach,Biomedical Engineering,TBA,,A
42990,Ph.D. Thesis Research,3-48,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rakach,Biomedical Engineering,TBA,,R
42997,Ph.D. Qualifying Examination,0.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Chase,Biomedical Engineering,TBA,,A
42998,Ph.D. Proposal,0.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rakach,Biomedical Engineering,TBA,,A
42999,Ph.D Thesis Defense,0.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rakach,Biomedical Engineering,TBA,,A
42999,Designing and Leading a Business CAP-S,0.0,Wednesday,08:15PM,09:30PM,"Pittsburgh, Pennsylvania",Markovitz,Business Administration,CMU,REMOTE,M
45985,Product Management for and by Product Managers:,12.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
45985,Product Management for and by Product Managers,12.0,Tuesday,07:00PM,09:45PM,"Pittsburgh, Pennsylvania",Derdenger,Business Administration,CMU,REMOTE,M
45990,Management Game:,12.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
45990,Management Game,12.0,Wednesday,08:30PM,09:45PM,"Pittsburgh, Pennsylvania",Lamont,Business Administration,CMU,REMOTE,M
45990,Management Game:,12.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
45990,Management Game,12.0,Wednesday,07:00PM,08:15PM,"Pittsburgh, Pennsylvania",Lamont,Business Administration,CMU,REMOTE,O
45999,Internship Practicum,3.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Hermann,Business Administration,TBA,,A
46999,MSCF Summer Internship,3.0,Schedule will be added,NA,NA,"New York, New York","Simon, Paljevic",Business Administration,DNM,DNM,M
47900,Tepper PhD,1-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Business Administration,DNM,DNM,M
47995,Graduate Reading & Research,1236,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rapp,Business Administration,DNM,DNM,M
47998,Tepper PhD Internship,3-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Shourideh,Business Administration,DNM,DNM,M
70257,Optimization for Business:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70257,Optimization for Business,9.0,Monday Tuesday Wednesday Thursday Friday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Shen,Business Administration,TEP,2612,S
70311,Organizational Behavior,9.0,Monday Tuesday Wednesday Thursday Friday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Instructor TBA,Business Administration,TEP,2612,S
70371,Operations Management,9.0,Monday Tuesday Wednesday Thursday Friday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Instructor TBA,Business Administration,TEP,2701,S
70381,Marketing I:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70381,TBA,9.0,Monday Tuesday Wednesday Thursday Friday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Feng,Business Administration,TEP,2612,S
70417,Topics in Entrepreneurship,9.0,Schedule will be added,NA,NA,"Doha, Qatar",Hakim,Business Administration,TBA,,W
70417,CIT Internship,9.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,CIT Interdisciplinary,DNM,DNM,A
39405,CIT Leadership Independent Study,9.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Murphy,CIT Interdisciplinary,TBA,,A
39500,Honors Research Project:,1-36,Day not scheduled,NA,NA,NA,NA,CIT Interdisciplinary,NA,,NA
39500,CIT Honors Research Project,1-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Larsen,CIT Interdisciplinary,DNM,DNM,A
39660,Masters EST&P Project:,VAR,Day not scheduled,NA,NA,NA,NA,CIT Interdisciplinary,NA,,NA
39660,EST&P Project Course,VAR,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Salvador,CIT Interdisciplinary,DNM,DNM,A
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Bernazzoli,Carnegie Mellon University-Wide Studies,DNM,DNM,A
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Bruder,Carnegie Mellon University-Wide Studies,TBA,,W
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Instructor TBA,Carnegie Mellon University-Wide Studies,TBA,,WW
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Feo Flushing,Carnegie Mellon University-Wide Studies,DNM,DNM,WY
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",AAZAM,Carnegie Mellon University-Wide Studies,DNM,DNM,WZ
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Sharma,Carnegie Mellon University-Wide Studies,DNM,DNM,X
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Bouamor,Carnegie Mellon University-Wide Studies,DNM,DNM,XX
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Safak,Carnegie Mellon University-Wide Studies,DNM,DNM,Y
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Instructor TBA,Carnegie Mellon University-Wide Studies,DNM,DNM,YY
39660,Summer UG Research Apprenticeship,VAR,Schedule will be added,NA,NA,"Doha, Qatar",Instructor TBA,Carnegie Mellon University-Wide Studies,DNM,DNM,Z
