Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
48731,Sustainable Design Synthesis Prep,1-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Architecture,TBA,,U
60590,Internship,1-9,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Art,DNM,DNM,U
03124,Modern Biology Laboratory,9.0,Monday Wednesday,12:00PM,02:50PM,"Pittsburgh, Pennsylvania",Doonan,Biological Sciences,MI,SOCIAL,U
03124,Modern Biology Laboratory,9.0,Monday Wednesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",NA,Biological Sciences,MI,333,NA
03132,Basic Science to Modern Medicine,9.0,Monday Tuesday Wednesday Thursday Friday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Mccartney,Biological Sciences,WEH,5202,U
03133,Neurobiology of Disease,9.0,Monday Tuesday Wednesday Thursday Friday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Brasier,Biological Sciences,DH,1211,U
03210,Independent Study,1-12,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Willard,Biological Sciences,TBA,,U
03232,Biochemistry I,9.0,Monday Tuesday Wednesday Thursday Friday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Rule,Biological Sciences,WEH,4709,U
03445,Undergraduate Research,1-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Willard,Biological Sciences,TBA,,U
47995,Graduate Reading & Research,1236,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Rapp,Business Administration,DNM,DNM,U
47998,Tepper PhD Internship,3-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Business Administration,DNM,DNM,U
70122,Introduction to Accounting:,9.0,Day not scheduled,NA,NA,NA,NA,Business Administration,NA,,NA
70122,TBA,9.0,Monday Tuesday Wednesday Thursday Friday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Wang,Business Administration,TEP,2612,U
09050,Study Abroad,0.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Stump,Chemistry,DNM,DNM,U
09105,Introduction to Modern Chemistry I,10.0,Monday Tuesday Wednesday Thursday Friday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Sherwood,Chemistry,DH,2302,U
09105,Introduction to Modern Chemistry I,10.0,Tuesday,02:00PM,02:50PM,"Pittsburgh, Pennsylvania",NA,Chemistry,DH,2302,NA
09218,Organic Chemistry II,9.0,Monday Tuesday Wednesday Thursday Friday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Instructor TBA,Chemistry,DH,1112,U
09435,Independent Study Chemistry,1.0 - 12.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Stump,Chemistry,DNM,DNM,U
09445,Undergraduate Research,3-18,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Stump,Chemistry,DNM,DNM,U
09861,Chemical Research,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Noonan,Chemistry,DNM,DNM,U
09871,Doctoral Dissertation,5.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Noonan,Chemistry,DNM,DNM,U
09990,Internship:,0-99,Day not scheduled,NA,NA,NA,NA,Chemistry,NA,,NA
09990,TBA,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Noonan,Chemistry,TBA,,U
09990,TBA,0-99,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Civil & Environmental Engineering,TBA,,U
09990,TBA,0-99,Monday Tuesday Wednesday Thursday Friday,03:30PM,04:20PM,"Pittsburgh, Pennsylvania",NA,Computer Science,GHC,CLSTR,NA
15112,Fundamentals of Programming and Computer Science,12.0,Monday Tuesday Wednesday Thursday Friday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Sands,Computer Science,SH,105,U
15112,Fundamentals of Programming and Computer Science,12.0,Monday Tuesday Wednesday Thursday Friday,06:30PM,07:20PM,"Pittsburgh, Pennsylvania",NA,Computer Science,GHC,CLSTR,NA
15122,Principles of Imperative Computation,12.0,Monday Tuesday Wednesday Thursday Friday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Kohlbrenner,Computer Science,TEP,1403,U
15122,Principles of Imperative Computation,12.0,Monday Tuesday Wednesday Thursday Friday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",NA,Computer Science,GHC,CLSTR,NA
15122,Principles of Imperative Computation,12.0,Monday Tuesday Wednesday Thursday Friday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Kohlbrenner,Computer Science,TEP,1403,V
15122,Principles of Imperative Computation,12.0,Monday Tuesday Wednesday Thursday Friday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",NA,Computer Science,GHC,CLSTR,NA
54495,Internship,9-36,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Instructor TBA,Drama,TBA,,U
18990,Reading and Research,0-48,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Bain,Electrical & Computer Engineering,TBA,,U
19798,Reading and Research: Thesis Research,51836,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania","Matthews, Muller",Engineering & Public Policy,TBA,,U
19798,At Home,51836,Monday Tuesday Wednesday Thursday Friday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Dieterich,English,PH,A18A,U
76221,Books You Should Have Read By Now,9.0,Monday Tuesday Wednesday Thursday Friday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Jo,English,PH,126A,U
76245,Shakespeare: Tragedies & Histories,9.0,Monday Tuesday Wednesday Thursday Friday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Wittek,English,CMU,REMOTE,U
