EventName,Date,Time,Location,Participants,Details,DocID
Reunion Beer Garden,4/13/24,2:00 PM-4:00 PM ET,Reunion Exclusive,,"The Reunion Tent is #4 on the map.  Meet local Carnegie Mellon alumni brewmasters who will be serving samples of their craft beers. The first 300 attendees will receive a commemorative pint glass. Free samples from all our brewers, and one pint pour will be provided.  Note: Registration required. No event fee. This event is open to Reunion celebrants and their guests.",Events_data/Documents/Apr-13_Eventno_40_ReunionBeerGarden.txt
Residential Education (Student Life) Alumni Reception,4/13/24,3:00 PM-4:00 PM ET,"Recreational Room, West Wing",Open to alumni and families,"On behalf of the Residential Education and the Office of Orientation and Family Programs (formerly the Student Life Office), we invite you to join us for a Carnival reception. We will have light refreshments and current Office of Residential Education and First Year Orientation staff will be present, including Housefellows.  We would love to reminisce with you about being a CA, RA, HOC, OL or OC and how these roles on campus might have impacted you. And, as always, we are excited to share with you the exciting changes and happenings in Residential education at Carnegie Mellon. If you have any questions, please feel free to contact Kristine Kengor at kkengor@andrew.cmu.edu or call 412-268-2142.  Note: Registration not required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-13_Eventno_44_ResidentialEducationStudentLifeAlumniReception.txt
Sweepstakes Final Races,4/13/24,8:00 AM-12:00 PM ET,Tech & Frew streets (in-person) and Livestream (virtual),Open to entire CMU community,"Watch the exciting conclusion of this year's Sweepstakes races as teams take on the final heats that stand between them and the championship title.  Can't make it back to campus? We'll livestream the races through cmuTV. You may also tune into WRCT Radio to hear the play-by-play. If you're interested in being a part of our live chat, join our BAA Discord at cmubuggy.org/chat.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-13_Eventno_3_SweepstakesFinalRaces.txt
CMBAA’s Spring Carnival Meeting,4/13/24,1:00 PM-3:00 PM ET,"Room 100 (Gregg Hall), Porter Hall",Open to entire CMU community,"Join the Carnegie Mellon Black Alumni Association for our biannual meeting with the theme of ""Next Level."" We’ll come together to share updates on the CMBAA and the student organizations we support, to discuss what you would like to see from the CMBAA in the future and to socialize.  Can't make it back to campus? Be sure to register for the livestream during registration.  Note: Registration required. Walk-ins are welcome as space permits. This event is open to the CMU community.  Cost:  $20/per person for alumni and guests. No charge for students and children 12 and under.",Events_data/Documents/Apr-13_Eventno_30_CMBAAsSpringCarnivalMeeting.txt
Spring Carnival Parents and Families Hospitality Suite,4/13/24,1:30 PM-3:00 PM ET,"McKenna Room, 2nd Floor, CUC",Open to parents and families,"All families are welcome to drop in to our hospitality lounge to take a break, grab some snacks, take a photo, mingle with fellow families and chat with staff.  Note: No registration required. No event fee. This event is open to parents and families of current students.",Events_data/Documents/Apr-13_Eventno_36_SpringCarnivalParentsandFamiliesHospitalitySuite.txt
"Unveiling the Department of Languages, Cultures & Applied Linguistics",4/13/24,3:00 PM-5:00 PM ET,"Grand Room, Posner Hall","Open to Modern Languages, Cultures & Applied Linguistics communities","Say au revoir to 'Modern Languages' and welcome to 'Languages, Cultures & Applied Linguistics.' It's not just a name; it's a passport to a world of cultural exploration and linguistic innovation. Join us in celebrating this exciting transition as we embrace a new era, aligning our department's identity with a broader mission of fostering diverse cultural understanding and advancing applied linguistics in our global community.  Note: Registration required. No event fee. This event is open to the Modern Languages community and their guests.",Events_data/Documents/Apr-13_Eventno_47_UnveilingtheDepartmentofLanguagesCulturesAppliedLinguistics.txt
"HLAA Presents: Gozando y Triunfando, A Carnival Celebration",4/13/24,9:00 AM-12:00 PM ET,"Danforth Conference Room, 2nd Floor, CUC",Open to the HLAA community,"Join us to celebrate the establishment of CMU's Hispanic Latino Alumni Association (HLAA) as we look to add representation, and voice to CMU's Hispanic & Latino community. During this event we will discuss HLAAs establishment, vision and accomplishments in FY23. We will learn about the dynamism and drive of our current students, collect alumni feedback and needs as we look to solidify our place amongst the greater CMU community.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the HLAA community and their guests. ",Events_data/Documents/Apr-13_Eventno_10_HLAAPresentsGozandoyTriunfandoACarnivalCelebration.txt
"Lunar Bots, Roll Out!",4/13/24,11:00 AM-7:00 PM ET,"Midway Activities Tent, The Cut",Open to entire CMU community,"Lunar Bots will be in the Activities Tent, which is #3 on the map.  Come check out CMU's lunar rovers, meet the students who just operated the first American robotic lunar rover in space at irisrover.space, drive one of our test robots, and get some cool space mission merch! Follow us on Instagram @iris_rover and @cmumoonranger. Additional weekend hours are 3-7 p.m. on  Thursday and 11 a.m.-7 p.m. on Friday.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-13_Eventno_19_LunarBotsRollOut.txt
Dog Costume Party,4/13/24,3:00 PM-4:00 PM ET,Between CUC Pillars,Open to entire CMU community,Bring your favorite four-legged friend for this dog costume party in honor of the Carnival Doghouses! Prizes go the top dog!  Note: Registration not required. No event fee.,Events_data/Documents/Apr-13_Eventno_45_DogCostumeParty.txt
Tepper Buggy Tent,4/13/24,8:00 AM-11:00 AM ET,"Tent, Frew Street",Open to Tepper alumni and families,Calling Tepper alumni! Stop by our Tepper Buggy Tent for refreshments and watching the races.  Note: Registration required. Walk-ins are welcome as space permits. This event is open to the Tepper community and their guests. ,Events_data/Documents/Apr-13_Eventno_5_TepperBuggyTent.txt
