Question,Answer,Category,FilePath
What time is the Phi Beta Kappa Initiation Ceremony scheduled to begin?,The Phi Beta Kappa Initiation Ceremony is scheduled to begin at 2 p.m.,Events,Events_Data/Documents/Commencement.txt
Where will the Phi Beta Kappa Initiation Ceremony take place?,"The Phi Beta Kappa Initiation Ceremony will take place at McConomy Auditorium, Cohon University Center.",Events,Events_Data/Documents/Commencement.txt
When is the reception following the Phi Beta Kappa Initiation Ceremony scheduled to start?,The reception following the Phi Beta Kappa Initiation Ceremony is scheduled to start at 3 p.m.,Events,Events_Data/Documents/Commencement.txt
What is the location of the reception following the Phi Beta Kappa Initiation Ceremony?,"The location of the reception following the Phi Beta Kappa Initiation Ceremony is the Connan Room, Cohon University Center.",Events,Events_Data/Documents/Commencement.txt
Who are the contacts for inquiries regarding the Phi Beta Kappa Initiation Ceremony?,The contacts for inquiries regarding the Phi Beta Kappa Initiation Ceremony are Joseph Devine (jd0x@andrew.cmu.edu) and Joanne Ursenbach (joanneu@andrew.cmu.edu).,Events,Events_Data/Documents/Commencement.txt
When is the President's Graduates Toast scheduled to take place?,The President's Graduates Toast is scheduled to take place from 3:30 p.m. to 4:30 p.m.,Events,Events_Data/Documents/Commencement.txt
Is registration required for the President's Graduates Toast?,"Yes, registration is required for the President's Graduates Toast.",Events,Events_Data/Documents/Commencement.txt
When will invitations for the President's Graduates Toast be sent out?,Invitations for the President's Graduates Toast will be sent out in late April.,Events,Events_Data/Documents/Commencement.txt
Where will the First Gen Graduation Recognition reception be held?,"The First Gen Graduation Recognition reception will be held in the Alumni Concert Hall, College of Fine Arts.",Events,Events_Data/Documents/Commencement.txt
What time is the First Gen Graduation Recognition ceremony scheduled to begin?,The First Gen Graduation Recognition ceremony is scheduled to begin at 5:30 p.m.,Events,Events_Data/Documents/Commencement.txt
Where will the First Gen Graduation Recognition ceremony take place?,"The First Gen Graduation Recognition ceremony will take place in Kresge Theater, College of Fine Arts.",Events,Events_Data/Documents/Commencement.txt
Who are the contacts for inquiries regarding the First Gen Graduation Recognition events?,The contacts for inquiries regarding the First Gen Graduation Recognition events are M. Shernell Smith (mssmith@andrew.cmu.edu) and Sam Colavecchio (scolavec@andrew.cmu.edu).,Events,Events_Data/Documents/Commencement.txt
What is the contact email for Joseph Devine regarding the Phi Beta Kappa Initiation Ceremony?,Joseph Devine's contact email regarding the Phi Beta Kappa Initiation Ceremony is jd0x@andrew.cmu.edu.,Events,Events_Data/Documents/Commencement.txt
What is the contact email for Joanne Ursenbach regarding the Phi Beta Kappa Initiation Ceremony?,Joanne Ursenbach's contact email regarding the Phi Beta Kappa Initiation Ceremony is joanneu@andrew.cmu.edu.,Events,Events_Data/Documents/Commencement.txt
What is the phone number for Sam Colavecchio regarding the First Gen Graduation Recognition events?,The phone number for Sam Colavecchio regarding the First Gen Graduation Recognition events is 412-268-7733.,Events,Events_Data/Documents/Commencement.txt
What date are the Diploma Ceremonies scheduled for?,"The Diploma Ceremonies are scheduled for Friday, May 10.",Events,Events_Data/Documents/Commencement.txt
What is the time frame for the Senior Leadership Recognition Ceremony?,The Senior Leadership Recognition Ceremony is scheduled from 4 p.m. to 5:30 p.m.,Events,Events_Data/Documents/Commencement.txt
Where will the Senior Leadership Recognition Ceremony take place?,"The Senior Leadership Recognition Ceremony will take place at Wiegand Gym, Cohon University Center.",Events,Events_Data/Documents/Commencement.txt
Who is invited to the Senior Leadership Recognition Ceremony?,Undergraduate students and their guests who receive invitations are invited to the Senior Leadership Recognition Ceremony.,Events,Events_Data/Documents/Commencement.txt
What is the purpose of the Senior Leadership Recognition Ceremony?,The Senior Leadership Recognition Ceremony recognizes nominated seniors who have reflected upon their specific leadership contributions during their time at CMU.,Events,Events_Data/Documents/Commencement.txt
What is the purpose of the main commencement ceremony?,"The main commencement ceremony is for the conferral of all degrees and includes remarks from the president, keynote speaker, student speaker, academic deans, and recognition of honorary degree recipients.",Events,Events_Data/Documents/Commencement.txt
Is there a limit on the number of guests who can attend the main commencement ceremony?,"No, there is no limit on the number of guests who can attend the main commencement ceremony.",Events,Events_Data/Documents/Commencement.txt
Will tickets be required for guests attending the main commencement ceremony?,"No, tickets will not be needed for guests attending the main commencement ceremony.",Events,Events_Data/Documents/Commencement.txt
What time will the main commencement ceremony begin?,"The main commencement ceremony will begin at 10 a.m. on Sunday, May 12.",Events,Events_Data/Documents/Commencement.txt
By what time must all guests be seated for the main commencement ceremony?,All guests must be seated by 9:15 a.m. for the start of the student procession at the main commencement ceremony.,Events,Events_Data/Documents/Commencement.txt
What will happen if guests arrive after the student procession has begun at the main commencement ceremony?,Access to guest seating will be restricted once the student procession begins at the main commencement ceremony.,Events,Events_Data/Documents/Commencement.txt
What activities are included in the diploma ceremonies?,"Diploma ceremonies include the presentation of diplomas to graduates, hooding of doctoral candidates, and remarks from their college/school/department leadership.",Events,Events_Data/Documents/Commencement.txt
Will there be receptions at the diploma ceremonies?,"Yes, diploma ceremonies typically include a reception for attendees.",Events,Events_Data/Documents/Commencement.txt
How long will each diploma ceremony last?,"The length of each diploma ceremony varies based on the number of graduates and the specific program, but they typically last for a certain duration.",Events,Events_Data/Documents/Commencement.txt
What is the duration of the Center for Student Diversity and Inclusion Ceremony?,"The Center for Student Diversity and Inclusion Ceremony is scheduled to last approximately 1 hour and 15 minutes, from 1 p.m. to 2:15 p.m.",Events,Events_Data/Documents/Commencement.txt
Will there be a reception before the Center for Student Diversity and Inclusion Ceremony?,"Yes, there will be a reception at 12:30 p.m. before the Center for Student Diversity and Inclusion Ceremony.",Events,Events_Data/Documents/Commencement.txt
Where is the Tepper Building Atrium located?,The Tepper Building Atrium is located on CMU's campus.,Events,Events_Data/Documents/Commencement.txt
What is the purpose of The President’s Reception in honor of CMU’s Doctoral Candidates?,The President’s Reception in honor of CMU’s Doctoral Candidates is held to celebrate and recognize CMU's doctoral candidates.,Events,Events_Data/Documents/Commencement.txt
Are all students invited to The President’s Reception?,"Yes, all doctoral candidates at CMU are invited to The President’s Reception.",Events,Events_Data/Documents/Commencement.txt
Will there be any speeches or remarks during The President’s Reception?,"There may be speeches or remarks during The President’s Reception to honor the doctoral candidates, but specific details are not provided.",Events,Events_Data/Documents/Commencement.txt
How can guests access the Tepper Building Atrium for The President’s Reception?,Guests can access the Tepper Building Atrium for The President’s Reception through designated entrances on CMU's campus.,Events,Events_Data/Documents/Commencement.txt
What is the purpose of the Naval ROTC Commissioning Ceremony?,The purpose of the Naval ROTC Commissioning Ceremony is to commission graduating students into the United States Navy or Marine Corps.,Events,Events_Data/Documents/Commencement.txt
Will there be any special protocol or dress code for attendees of the Naval ROTC Commissioning Ceremony?,"Yes, attendees of the Naval ROTC Commissioning Ceremony are typically expected to adhere to military dress code or formal attire.",Events,Events_Data/Documents/Commencement.txt
How long is the Naval ROTC Commissioning Ceremony expected to last?,The Naval ROTC Commissioning Ceremony is expected to last for approximately 1 hour.,Events,Events_Data/Documents/Commencement.txt
Are guests allowed to attend the Naval ROTC Commissioning Ceremony?,"Yes, guests are allowed to attend the Naval ROTC Commissioning Ceremony, but specific restrictions or guidelines may apply.",Events,Events_Data/Documents/Commencement.txt
Will there be any special guests or dignitaries present at The President’s Reception in honor of CMU’s Doctoral Candidates?,"The presence of special guests or dignitaries at The President’s Reception in honor of CMU’s Doctoral Candidates may vary, and it depends on the specific arrangements made for the event.",Events,Events_Data/Documents/Commencement.txt
Is there any registration required for attendees of The President’s Reception?,"Information about registration requirements for attendees of The President’s Reception is not provided; however, attendees may need to RSVP or register through formal channels.",Events,Events_Data/Documents/Commencement.txt
How will attendees receive invitations to The President’s Reception?,Invitations to The President’s Reception are typically sent out via email or mail to CMU's doctoral candidates.,Events,Events_Data/Documents/Commencement.txt
Will there be any specific activities or entertainment at The President’s Reception?,"The specific activities or entertainment planned for The President’s Reception are not specified, but it may include networking opportunities, speeches, or refreshments.",Events,Events_Data/Documents/Commencement.txt
What is the significance of the student procession during the commencement ceremony?,The student procession during the commencement ceremony is a symbolic march representing the transition of graduates from students to alumni.,Events,Events_Data/Documents/Commencement.txt
How should graduates participate in the robing and procession?,Graduates should robe and assemble at designated locations on campus before participating in the procession to the commencement venue.,Events,Events_Data/Documents/Commencement.txt
Are there specific instructions for guests attending the Commencement Ceremony?,"Yes, guests should be seated in the stadium before the student procession begins, and they should follow any instructions provided by event staff.",Events,Events_Data/Documents/Commencement.txt
