Question,Ref_Answer,DocID,Category
What is the timing for the Faces of Carnival Photo Mosaic?,Timings for Faces of Carnival Photo Mosaic are 8:00 AM-9:00 PM ET on 2/5/24 – 4/15/24.,Events_data/Documents/Feb-5_Eventno_1_FacesofCarnivalPhotoMosaic.txt,Events
Who can attend Faces of Carnival Photo Mosaic?,Open to entire CMU community.,Events_data/Documents/Feb-5_Eventno_1_FacesofCarnivalPhotoMosaic.txt,Events
Where is Faces of Carnival Photo Mosaic taking place?,No information mentioned on the website.,Events_data/Documents/Feb-5_Eventno_1_FacesofCarnivalPhotoMosaic.txt,Events
Can you tell me more about the Faces of Carnival Photo Mosaic?,Submit your photo by April 16 to be included in the Faces of Carnival. Look for your image — along with hundreds of others from the worldwide CMU community — when we share the mosaic on social media and in email after Spring Carnival 2024.,Events_data/Documents/Feb-5_Eventno_1_FacesofCarnivalPhotoMosaic.txt,Events
What is the timing for the Booth Build & Midway Cam?,Timings for Booth Build & Midway Cam are 5:00 PM-12:00 PM ET on 4/5/24 – 4/14/24.,Events_data/Documents/Apr-5_Eventno_1_BoothBuildMidwayCam.txt,Events
Who can attend Booth Build & Midway Cam?,Virtual Event: Open to All.,Events_data/Documents/Apr-5_Eventno_1_BoothBuildMidwayCam.txt,Events
Where is Booth Build & Midway Cam taking place?,Livestream,Events_data/Documents/Apr-5_Eventno_1_BoothBuildMidwayCam.txt,Events
Can you tell me more about the Booth Build & Midway Cam?,"Follow all of the action via livestream starting with Move On on April 5, followed by Build Week and finally the completed Booths beginning on April 11 through April 14.  Note: Add event during registration for calendar hold. Link will be added prior to Build Week.",Events_data/Documents/Apr-5_Eventno_1_BoothBuildMidwayCam.txt,Events
What is the timing for the WRCT Radio Buggy Preview?,Timings for WRCT Radio Buggy Preview are 3:00 PM-4:00 PM ET on 4/10/24.,Events_data/Documents/Apr-10_Eventno_3_WRCTRadioBuggyPreview.txt,Events
Who can attend WRCT Radio Buggy Preview?,Virtual Event: Open to All.,Events_data/Documents/Apr-10_Eventno_3_WRCTRadioBuggyPreview.txt,Events
Where is WRCT Radio Buggy Preview taking place?,WRCT 88.3,Events_data/Documents/Apr-10_Eventno_3_WRCTRadioBuggyPreview.txt,Events
Can you tell me more about the WRCT Radio Buggy Preview?,Tune into WRCT at 88.3 FM to hear Buggy Alumni Association (BAA) guest panelists discuss Buggy.  Note: Add event during registration for calendar hold. A reminder with link will be sent to registrants 24 hours and one hour prior.,Events_data/Documents/Apr-10_Eventno_3_WRCTRadioBuggyPreview.txt,Events
What is the timing for the Here to Stay: Celebrating 40 Years at the Architecture Archives?,Timings for Here to Stay: Celebrating 40 Years at the Architecture Archives are 8:00 AM-6:00 PM ET on 4/10/24.,Events_data/Documents/Apr-10_Eventno_1_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
Who can attend Here to Stay: Celebrating 40 Years at the Architecture Archives?,Open to entire CMU community.,Events_data/Documents/Apr-10_Eventno_1_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
Where is Here to Stay: Celebrating 40 Years at the Architecture Archives taking place?,"4th Floor, Hunt Library",Events_data/Documents/Apr-10_Eventno_1_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
Can you tell me more about the Here to Stay: Celebrating 40 Years at the Architecture Archives?,"For the past 40 years, the Architecture Archives collections at Carnegie Mellon University has documented thousands of projects and the work of hundreds of designers. The exhibition highlights the wide diversity of materials from preliminary sketches to presentation renderings to specifications and photographs to publications and select architectural models which help piece together the rich history of the built environment of Pittsburgh and the region.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-10_Eventno_1_HeretoStayCelebrating40YearsattheArchitectureArchives.txt,Events
"What is the timing for the Inventing Shakespeare: Text, Technology and The Four Folios?","Timings for Inventing Shakespeare: Text, Technology and The Four Folios are 8:00 AM-6:00 PM ET on 4/10/24.",Events_data/Documents/Apr-10_Eventno_2_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
"Who can attend Inventing Shakespeare: Text, Technology and The Four Folios?",Open to entire CMU community.,Events_data/Documents/Apr-10_Eventno_2_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
"Where is Inventing Shakespeare: Text, Technology and The Four Folios taking place?","Smith Exhibit Space, 1st Floor, Hunt Library",Events_data/Documents/Apr-10_Eventno_2_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
"Can you tell me more about the Inventing Shakespeare: Text, Technology and The Four Folios?","Inventing Shakespeare tells the little known story of technological innovation, instrumentation and mechanical prototyping inspired by research into Shakespeare’s most famous book. Objects in the exhibit range from a fully immersive VR tour of a reconstructed Shakespearean playhouse, a 1960s-era mechanical collator designed to compare multiple copies of the First Folio, and fragments of the folios themselves.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-10_Eventno_2_InventingShakespeareTextTechnologyandTheFourFolios.txt,Events
What is the timing for the Carnival Headquarters Tent: Check-In & Registration?,Timings for Carnival Headquarters Tent: Check-In & Registration are 8:00 AM-7:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_3_CarnivalHeadquartersTentCheckInRegistration.txt,Events
Who can attend Carnival Headquarters Tent: Check-In & Registration?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_3_CarnivalHeadquartersTentCheckInRegistration.txt,Events
Where is Carnival Headquarters Tent: Check-In & Registration taking place?,"Tent, The Cut",Events_data/Documents/Apr-11_Eventno_3_CarnivalHeadquartersTentCheckInRegistration.txt,Events
Can you tell me more about the Carnival Headquarters Tent: Check-In & Registration?,"Open to the entire Tartan community!  The Carnival Headquarters Tent is #1 on the map - look for the giant inflatable Scotty dog!  Make this your first stop to check in, download the app and register to win the daily Tartan Swag Bag giveaway.  Weekend hours: Thursday through Saturday: 8 a.m. to 7 p.m.",Events_data/Documents/Apr-11_Eventno_3_CarnivalHeadquartersTentCheckInRegistration.txt,Events
What is the timing for the Eid Celebration?,Timings for Eid Celebration are 3:00 PM-5:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_10_EidCelebration.txt,Events
Who can attend Eid Celebration?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_10_EidCelebration.txt,Events
Where is Eid Celebration taking place?,"Midway Activities Tent, The Cut",Events_data/Documents/Apr-11_Eventno_10_EidCelebration.txt,Events
Can you tell me more about the Eid Celebration?,"The Activities Tent is #3 on the map.  The Muslim Student Association (MSA) invites you to join them to celebrate Eid, which occurs the day before Carnival this year.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-11_Eventno_10_EidCelebration.txt,Events
What is the timing for the Kiltie Band Concert?,Timings for Kiltie Band Concert are 3:30 PM-4:30 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_19_KiltieBandConcert.txt,Events
Who can attend Kiltie Band Concert?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_19_KiltieBandConcert.txt,Events
Where is Kiltie Band Concert taking place?,"Kirr Commons, Cohon University Center",Events_data/Documents/Apr-11_Eventno_19_KiltieBandConcert.txt,Events
Can you tell me more about the Kiltie Band Concert?,What better way to open Carnival than with the infamous “Band without Pants”?  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-11_Eventno_19_KiltieBandConcert.txt,Events
What is the timing for the Buggy Showcase?,Timings for Buggy Showcase are 12:00 PM-2:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_5_BuggyShowcase.txt,Events
Who can attend Buggy Showcase?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_5_BuggyShowcase.txt,Events
Where is Buggy Showcase taking place?,"Wiegand Gym, 1st Floor, CUC",Events_data/Documents/Apr-11_Eventno_5_BuggyShowcase.txt,Events
Can you tell me more about the Buggy Showcase?,"Kick off your Carnival Weekend with Buggy! View the latest buggy designs, talk with the teams and vote for the Buggy People’s Choice Award.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_5_BuggyShowcase.txt,Events
What is the timing for the Impact CMU 2024?,Timings for Impact CMU 2024 are 12:00 PM-5:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_7_ImpactCMU2024.txt,Events
Who can attend Impact CMU 2024?,No information mentioned on the website..,Events_data/Documents/Apr-11_Eventno_7_ImpactCMU2024.txt,Events
Where is Impact CMU 2024 taking place?,"Studio Theater, 1st Floor, CUC",Events_data/Documents/Apr-11_Eventno_7_ImpactCMU2024.txt,Events
Can you tell me more about the Impact CMU 2024?,"Impact CMU 2024 is an annual showcase of CMU student-led social impact projects. Designed by Design for America, Impact CMU aims to celebrate our successes and create a culture of social good on campus. Impact CMU invites undergrad and graduate students at Carnegie Mellon to showcase how they have worked with a community. The projects range from student organizations and research to personal and hackathon projects.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and Carnival guests",Events_data/Documents/Apr-11_Eventno_7_ImpactCMU2024.txt,Events
What is the timing for the Kiltie Band Alumni & Student Reception?,Timings for Kiltie Band Alumni & Student Reception are 4:30 PM-6:30 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt,Events
Who can attend Kiltie Band Alumni & Student Reception?,Open to alumni and families of the Kiltie community.,Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt,Events
Where is Kiltie Band Alumni & Student Reception taking place?,"General Motors Room, 2nd Floor, CUC",Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt,Events
Can you tell me more about the Kiltie Band Alumni & Student Reception?,"After the Kiltie Band Spring Carnival kick-off concert, current and former Kilties are invited for food and fun!  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the Kiltie community and guests.",Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt,Events
What is the timing for the Crafting with HR Family Care Initiatives?,Timings for Crafting with HR Family Care Initiatives are 3:00 PM-6:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_8_CraftingwithHRFamilyCareInitiatives.txt,Events
Who can attend Crafting with HR Family Care Initiatives?,Open to children and families.,Events_data/Documents/Apr-11_Eventno_8_CraftingwithHRFamilyCareInitiatives.txt,Events
Where is Crafting with HR Family Care Initiatives taking place?,Midway Activities Tent,Events_data/Documents/Apr-11_Eventno_8_CraftingwithHRFamilyCareInitiatives.txt,Events
Can you tell me more about the Crafting with HR Family Care Initiatives?,"Crafting with the HR Family Care Initiatives is in the Activities Tent, which is #3 on the map.  Attention faculty and staff: Family Care and the Office of Human Resources present crafting with your kids. This activity is appropriate for children of all ages as well as those young at heart. While your child creates, we would love to talk about how Carnegie Mellon University can support your family with a variety of benefits and programs. We will also be in the Activities Tent on Friday from 1-4 p.m.  Note: No registration required. No event fee. This event is open to CMU faculty and staff and their guests.",Events_data/Documents/Apr-11_Eventno_8_CraftingwithHRFamilyCareInitiatives.txt,Events
What is the timing for the Kidzone Tent?,Timings for Kidzone Tent are 3:00 PM-7:00 PM ET on 4/11/24.,Events_data/Documents/Apr-11_Eventno_18_KidzoneTent.txt,Events
Who can attend Kidzone Tent?,Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_18_KidzoneTent.txt,Events
Where is Kidzone Tent taking place?,"Tent, The Cut",Events_data/Documents/Apr-11_Eventno_18_KidzoneTent.txt,Events
Can you tell me more about the Kidzone Tent?,The Kidzone Tent is #8 on the map.  Attention families: Check out games and activities specifically geared toward the younger Tartans ages 8 and under. Sponsored by the Alumni Association.  Note: No registration required. No event fee.  Activities include:  Snacks Mini prize wheel Montessori-inspired games Balloon artist Face painter  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m.-7 p.m.,Events_data/Documents/Apr-11_Eventno_18_KidzoneTent.txt,Events
"What is the timing for the Lunar Bots, Roll Out!?","Timings for Lunar Bots, Roll Out! are 3:00 PM-7:00 PM ET on 4/11/24.",Events_data/Documents/Apr-11_Eventno_17_LunarBotsRollOut.txt,Events
"Who can attend Lunar Bots, Roll Out!?",Open to entire CMU community.,Events_data/Documents/Apr-11_Eventno_17_LunarBotsRollOut.txt,Events
